"","X","IIdx","Rank","Dist","NIdx","NID","MSLD","ND","TVD","MSFD","Donated"
"2",2,1,1,0.171226866312047,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"7",7,2,1,0.329527917051951,550,338,1.487729835,-0.589133831,-0.589133831,0.614359355,0
"12",12,3,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"17",17,4,1,0.0630810607942815,142,359,0.471473252,-1.117854791,-1.117854791,0.266799003,0
"22",22,5,1,0.180044650548538,399,495,-0.810535068,-1.117854791,-1.117854791,0.190349155,1
"27",27,6,1,0.305283634372598,4,160,-1.109636079,-1.793432165,-1.793432165,0.614359355,1
"32",32,7,1,0.0882806146283381,74,54,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"37",37,8,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"42",42,9,1,0.645695718723991,384,597,1.487729835,0.172880205,0.172880205,1.754104697,0
"47",47,10,1,0.123488174784899,326,177,0.776698353,-0.149807866,-0.149807866,0.974755346,0
"52",52,11,1,0.0982965098329777,478,422,0.68028211,0.172880205,0.172880205,-0.741697737,1
"57",57,12,1,0.326660251122284,280,201,0.471473252,-0.589133831,-0.589133831,1.341555111,0
"62",62,13,1,0.342224634980771,95,386,-0.572448496,-1.213548964,-1.213548964,1.084605966,0
"67",67,14,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"72",72,15,1,0.102817263934296,146,432,-0.572448496,-0.149807866,-0.149807866,-0.101636954,1
"77",77,16,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"82",82,17,1,0.129356094138189,166,553,0.471473252,-0.589133831,-0.589133831,-0.057250437,0
"87",87,18,1,0.365952848723829,456,600,0.235528465,-1.213548964,-1.213548964,0.740281188,1
"92",92,19,1,0.0795614526161201,342,420,1.487729835,-1.300118066,-1.300118066,1.689075155,0
"97",97,20,1,0.225834610508166,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"102",102,21,1,0.1609316471502,50,502,-1.109636079,-0.751539609,-0.751539609,-0.013839696,1
"107",107,22,1,0.13518260185637,437,147,-0.572448496,-0.589133831,-0.589133831,0.266799003,1
"112",112,23,1,0.174770775089558,57,146,-0.572448496,-0.751539609,-0.751539609,-0.147060021,0
"117",117,24,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"122",122,25,1,0.128039555804365,201,115,-1.109636079,0.172880205,0.172880205,0.266799003,0
"127",127,26,1,0.190729318961518,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"132",132,27,1,0.121686560097796,120,705,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"137",137,28,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"142",142,29,1,0.086262055114026,115,151,-0.572448496,0.172880205,0.172880205,-0.616712577,0
"147",147,30,1,0.171226866312047,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"152",152,31,1,0.158339252292827,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"157",157,32,1,0.227951527840519,379,547,1.348487,-0.589133831,-0.589133831,1.689075155,0
"162",162,33,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"167",167,34,1,0.156064382087961,161,242,-0.572448496,-0.751539609,-0.751539609,1.002640843,0
"172",172,35,1,0.239299423207669,527,130,-0.572448496,0.643738116,0.643738116,0.646449775,0
"177",177,36,1,0.117644592481709,477,123,0.471473252,-0.589133831,-0.589133831,-0.013839696,0
"182",182,37,1,0.262806318051569,496,342,-1.109636079,0.643738116,0.643738116,0.190349155,0
"187",187,38,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"192",192,39,1,0.178973255455329,429,86,-0.572448496,-0.589133831,-0.589133831,0.070270318,0
"197",197,40,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"202",202,41,1,0.120252354097252,62,45,-1.109636079,0.643738116,0.643738116,-1.639570526,0
"207",207,42,1,0.109908273265749,259,20,0.956547268,-0.589133831,-0.589133831,0.266799003,1
"212",212,43,1,0.234699784503647,553,715,0.956547268,-0.393788889,-0.393788889,1.341555111,0
"217",217,44,1,0.143014752213579,84,94,-1.109636079,-0.393788889,-0.393788889,-0.101636954,0
"222",222,45,1,0.127619219029323,532,611,0.776698353,0.172880205,0.172880205,0.190349155,0
"227",227,46,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"232",232,47,1,0.176419599380846,423,398,-0.572448496,-0.149807866,-0.149807866,-0.616712577,0
"237",237,48,1,0.0289838195859762,532,611,0.776698353,0.172880205,0.172880205,0.190349155,0
"242",242,49,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"247",247,50,1,0.0866870194492147,225,44,0.776698353,-0.393788889,-0.393788889,-0.101636954,0
"252",252,51,1,0.149351494538704,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"257",257,52,1,0.203618913211423,38,665,-0.572448496,-1.793432165,-1.793432165,1.291991927,1
"262",262,53,1,0.0500960210614062,224,647,0.776698353,-0.149807866,-0.149807866,-0.290258347,1
"267",267,54,1,0.126530852591588,442,383,-0.572448496,-0.589133831,-0.589133831,0.376708903,1
"272",272,55,1,0.20099646596069,368,292,1.348487,0.643738116,0.643738116,0.266799003,0
"277",277,56,1,0.139533094975017,222,36,0.471473252,-0.890212447,-0.890212447,0.709397,0
"282",282,57,1,0.16789468036578,197,519,-1.109636079,-0.589133831,-0.589133831,1.438225239,0
"287",287,58,1,0.19712555450535,397,226,-0.810535068,-0.393788889,-0.393788889,-0.877920581,1
"292",292,59,1,0.134802225094159,148,618,-1.109636079,-0.149807866,-0.149807866,0.266799003,0
"297",297,60,1,0.255206338520144,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"302",302,61,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"307",307,62,1,0.326069515725519,551,365,0.776698353,0.643738116,0.643738116,0.266799003,1
"312",312,63,1,0.191882564850508,207,257,0.471473252,-1.451648015,-1.451648015,1.390287505,1
"317",317,64,1,0.146713671455302,421,737,-1.109636079,-1.300118066,-1.300118066,1.31687973,1
"322",322,65,1,0.326069515725519,551,365,0.776698353,0.643738116,0.643738116,0.266799003,1
"327",327,66,1,0.208170543209795,309,37,1.121961092,0.643738116,0.643738116,-0.241291892,0
"332",332,67,1,0.2709814425613,302,713,0.471473252,-0.149807866,-0.149807866,1.084605966,0
"337",337,68,1,0.147157190205789,279,194,1.348487,-1.379091478,-1.379091478,0.974755346,0
"342",342,69,1,0.320616737072225,159,113,0.235528465,-1.01100296,-1.01100296,0.614359355,0
"347",347,70,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"352",352,71,1,0.0918749754422337,232,102,0.471473252,-0.393788889,-0.393788889,0.266799003,0
"357",357,72,1,0.202842357978104,224,647,0.776698353,-0.149807866,-0.149807866,-0.290258347,1
"362",362,73,1,0.165907651956893,575,541,2.384871657,1.49423964,1.49423964,0.412182818,0
"367",367,74,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"372",372,75,1,0.119217352219563,378,475,1.487729835,-0.149807866,-0.149807866,0.860175521,0
"377",377,76,1,0.279352460886526,280,201,0.471473252,-0.589133831,-0.589133831,1.341555111,0
"382",382,77,1,0.0462517773292655,274,723,0.776698353,0.172880205,0.172880205,-0.101636954,0
"387",387,78,1,0.384146636512257,95,386,-0.572448496,-1.213548964,-1.213548964,1.084605966,0
"392",392,79,1,0.162905933128804,273,349,0.956547268,-0.149807866,-0.149807866,-0.013839696,0
"397",397,80,1,0.19712555450535,397,226,-0.810535068,-0.393788889,-0.393788889,-0.877920581,1
"402",402,81,1,0.165907651956893,575,541,2.384871657,1.49423964,1.49423964,0.412182818,0
"407",407,82,1,0.0630810607942815,142,359,0.471473252,-1.117854791,-1.117854791,0.266799003,0
"412",412,83,1,0.121686560097796,120,705,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"417",417,84,1,0.120252354097252,62,45,-1.109636079,0.643738116,0.643738116,-1.639570526,0
"422",422,85,1,0.149351494538704,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"427",427,86,1,0.138452891183129,351,660,1.348487,1.49423964,1.49423964,-0.340579242,0
"432",432,87,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"437",437,88,1,0.181682061591205,309,37,1.121961092,0.643738116,0.643738116,-0.241291892,0
"442",442,89,1,0.147157190205789,279,194,1.348487,-1.379091478,-1.379091478,0.974755346,0
"447",447,90,1,0.131295664474149,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"452",452,91,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"457",457,92,1,0.0957903850366285,286,318,-0.572448496,0.643738116,0.643738116,0.800933818,1
"462",462,93,1,0.127619219029323,532,611,0.776698353,0.172880205,0.172880205,0.190349155,0
"467",467,94,1,0.0486452538991678,510,13,0.956547268,0.643738116,0.643738116,-0.616712577,0
"472",472,95,1,0.42717750529602,461,270,0.578782997,-1.213548964,-1.213548964,0.412182818,0
"477",477,96,1,0.148514458192409,163,533,0.471473252,-1.01100296,-1.01100296,0.376708903,0
"482",482,97,1,0.116123213970023,90,653,-0.572448496,-0.393788889,-0.393788889,-0.241291892,0
"487",487,98,1,0.222039453175587,205,205,0.578782997,-1.300118066,-1.300118066,1.002640843,0
"492",492,99,1,0.245801254759416,556,738,1.487729835,-0.890212447,-0.890212447,1.291991927,0
"497",497,100,1,0.0882806146283381,74,54,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"502",502,101,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"507",507,102,1,0.241921684746073,271,488,0.471473252,-0.393788889,-0.393788889,0.770789474,0
"512",512,103,1,0.0678790991836076,555,387,1.348487,0.172880205,0.172880205,0.266799003,0
"517",517,104,1,0.476982949336069,492,91,0.357442558,-0.393788889,-0.393788889,0.376708903,0
"522",522,105,1,0.0950268850403466,247,216,0.471473252,0.643738116,0.643738116,-0.557726799,0
"527",527,106,1,0.25987996625208,55,718,-1.109636079,-0.149807866,-0.149807866,-0.741697737,1
"532",532,107,1,0.135653056400709,520,642,0.956547268,-1.451648015,-1.451648015,1.62266982,0
"537",537,108,1,0.310818566492534,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"542",542,109,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"547",547,110,1,0.0414466288094197,511,320,0.956547268,0.172880205,0.172880205,-0.340579242,0
"552",552,111,1,0.111971071471409,226,678,0.104209089,0.643738116,0.643738116,-0.616712577,0
"557",557,112,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"562",562,113,1,0.227951527840519,379,547,1.348487,-0.589133831,-0.589133831,1.689075155,0
"567",567,114,1,0.1382075168934,57,146,-0.572448496,-0.751539609,-0.751539609,-0.147060021,0
"572",572,115,1,0.0630810607942815,142,359,0.471473252,-1.117854791,-1.117854791,0.266799003,0
"577",577,116,1,0.172375427696534,366,739,1.487729835,0.172880205,0.172880205,0.481527201,0
"582",582,117,1,0.142068367679136,572,698,1.487729835,1.49423964,1.49423964,-0.241291892,0
"587",587,118,1,0.164846350366417,57,146,-0.572448496,-0.751539609,-0.751539609,-0.147060021,0
"592",592,119,1,0.147146032997365,403,250,-0.572448496,-1.379091478,-1.379091478,0.412182818,1
"597",597,120,1,0.120761638592796,484,486,-1.109636079,0.643738116,0.643738116,-0.290258347,0
"602",602,121,1,0.241921684746073,271,488,0.471473252,-0.393788889,-0.393788889,0.770789474,0
"607",607,122,1,0.0955159143160281,49,612,-0.572448496,-0.890212447,-0.890212447,-0.101636954,1
"612",612,123,1,0.198649074439747,231,727,0.471473252,-0.149807866,-0.149807866,-0.013839696,0
"617",617,124,1,1.43628204403683,86,676,-3.178686746,-0.890212447,-0.890212447,1.030239339,0
"622",622,125,1,0.314030474677173,58,607,-1.536100669,-1.01100296,-1.01100296,0.800933818,0
"627",627,126,1,0.251984877100525,92,279,-1.109636079,-1.300118066,-1.300118066,1.600215287,0
"632",632,127,1,0.129893126403493,459,681,-0.572448496,-0.589133831,-0.589133831,0.548870389,0
"637",637,128,1,0.043154632307623,195,555,0.471473252,0.643738116,0.643738116,-0.951183901,0
"642",642,129,1,0.198649074439747,231,727,0.471473252,-0.149807866,-0.149807866,-0.013839696,0
"647",647,130,1,0.0440099782322166,237,114,0.776698353,0.643738116,0.643738116,-0.741697737,0
"652",652,131,1,0.220714387223502,84,94,-1.109636079,-0.393788889,-0.393788889,-0.101636954,0
"657",657,132,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"662",662,133,1,0.0426276280389311,167,517,0.471473252,0.172880205,0.172880205,-0.741697737,0
"667",667,134,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"672",672,135,1,0.156064382087961,161,242,-0.572448496,-0.751539609,-0.751539609,1.002640843,0
"677",677,136,1,0.0882806146283381,74,54,-0.572448496,0.643738116,0.643738116,-1.639570526,0
"682",682,137,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"687",687,138,1,0.0864157401615786,341,381,0.471473252,0.172880205,0.172880205,1.461906713,0
"692",692,139,1,0.172092025586236,394,104,-1.109636079,-1.213548964,-1.213548964,-0.013839696,0
"697",697,140,1,0.16760800197516,109,35,-1.109636079,-1.213548964,-1.213548964,1.732576379,0
"702",702,141,1,0.365629283831231,5,358,-1.536100669,-1.963489814,-1.963489814,1.485401957,0
"707",707,142,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"712",712,143,1,0.121686560097796,120,705,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"717",717,144,1,0.16789468036578,197,519,-1.109636079,-0.589133831,-0.589133831,1.438225239,0
"722",722,145,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"727",727,146,1,0.142068367679136,572,698,1.487729835,1.49423964,1.49423964,-0.241291892,0
"732",732,147,1,0.0580420479139387,346,180,1.487729835,0.172880205,0.172880205,0.190349155,0
"737",737,148,1,0.140788357420326,151,725,-0.572448496,-0.393788889,-0.393788889,0.228911412,0
"742",742,149,1,0.229026828859474,380,305,1.348487,0.172880205,0.172880205,1.164186551,0
"747",747,150,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"752",752,151,1,0.166669592528156,368,292,1.348487,0.643738116,0.643738116,0.266799003,0
"757",757,152,1,0.334676654645206,30,340,-1.109636079,-0.890212447,-0.890212447,-0.013839696,1
"762",762,153,1,0.275059089762018,163,533,0.471473252,-1.01100296,-1.01100296,0.376708903,0
"767",767,154,1,0.157239959260964,259,20,0.956547268,-0.589133831,-0.589133831,0.266799003,1
"772",772,155,1,0.139211221832032,511,320,0.956547268,0.172880205,0.172880205,-0.340579242,0
"777",777,156,1,0.327592578980777,194,219,-0.038570075,-1.300118066,-1.300118066,1.689075155,0
"782",782,157,1,0.13129992006362,319,347,0.956547268,1.49423964,1.49423964,-0.616712577,0
"787",787,158,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"792",792,159,1,0.203618913211423,38,665,-0.572448496,-1.793432165,-1.793432165,1.291991927,1
"797",797,160,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"802",802,161,1,0.191882564850508,207,257,0.471473252,-1.451648015,-1.451648015,1.390287505,1
"807",807,162,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"812",812,163,1,0.194267007804613,51,479,-0.810535068,-0.589133831,-0.589133831,-0.340579242,0
"817",817,164,1,0.695379813647154,79,474,0.578782997,-1.213548964,-1.213548964,-0.241291892,0
"822",822,165,1,0.510201179950027,201,115,-1.109636079,0.172880205,0.172880205,0.266799003,0
"827",827,166,1,0.0629250140510798,340,435,0.956547268,0.172880205,0.172880205,0.646449775,0
"832",832,167,1,0.121686560097796,120,705,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"837",837,168,1,0.158339252292827,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"842",842,169,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"847",847,170,1,0.225834610508166,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"852",852,171,1,0.142068367679136,572,698,1.487729835,1.49423964,1.49423964,-0.241291892,0
"857",857,172,1,0.203811772422346,575,541,2.384871657,1.49423964,1.49423964,0.412182818,0
"862",862,173,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"867",867,174,1,0.402313583555146,387,39,-1.109636079,-2.487053191,-2.487053191,1.689075155,1
"872",872,175,1,0.0957903850366285,286,318,-0.572448496,0.643738116,0.643738116,0.800933818,1
"877",877,176,1,0.0701756665259667,557,610,1.348487,0.172880205,0.172880205,0.376708903,0
"882",882,177,1,0.208722260367527,420,255,-1.109636079,0.172880205,0.172880205,-0.951183901,0
"887",887,178,1,0.135254083249537,109,35,-1.109636079,-1.213548964,-1.213548964,1.732576379,0
"892",892,179,1,0.234584534911038,332,52,0.235528465,0.643738116,0.643738116,0.830725571,0
"897",897,180,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"902",902,181,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"907",907,182,1,0.147170129422593,232,102,0.471473252,-0.393788889,-0.393788889,0.266799003,0
"912",912,183,1,0.0955159143160281,49,612,-0.572448496,-0.890212447,-0.890212447,-0.101636954,1
"917",917,184,1,0.13129992006362,319,347,0.956547268,1.49423964,1.49423964,-0.616712577,0
"922",922,185,1,0.31151577408896,54,507,-0.810535068,-1.581034348,-1.581034348,1.414353547,0
"927",927,186,1,0.0440099782322166,237,114,0.776698353,0.643738116,0.643738116,-0.741697737,0
"932",932,187,1,0.0462517773292655,274,723,0.776698353,0.172880205,0.172880205,-0.101636954,0
"937",937,188,1,0.129366265198485,269,551,0.471473252,1.49423964,1.49423964,-0.951183901,0
"942",942,189,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"947",947,190,1,0.0440099782322166,237,114,0.776698353,0.643738116,0.643738116,-0.741697737,0
"952",952,191,1,0.370148528429767,48,740,-0.572448496,-1.745027626,-1.745027626,1.291991927,1
"957",957,192,1,0.320577154372144,190,264,-0.572448496,0.172880205,0.172880205,-0.147060021,1
"962",962,193,1,0.0486452538991678,510,13,0.956547268,0.643738116,0.643738116,-0.616712577,0
"967",967,194,1,0.285724425439457,551,365,0.776698353,0.643738116,0.643738116,0.266799003,1
"972",972,195,1,0.279352460886526,280,201,0.471473252,-0.589133831,-0.589133831,1.341555111,0
"977",977,196,1,0.13129992006362,319,347,0.956547268,1.49423964,1.49423964,-0.616712577,0
"982",982,197,1,0.0670280003502922,325,558,1.348487,0.643738116,0.643738116,-0.241291892,0
"987",987,198,1,0.303785266319338,550,338,1.487729835,-0.589133831,-0.589133831,0.614359355,0
"992",992,199,1,0.0760773969138405,344,78,1.487729835,0.643738116,0.643738116,-0.101636954,0
"997",997,200,1,0.181202379122566,95,386,-0.572448496,-1.213548964,-1.213548964,1.084605966,0
